City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,Yurgamysh,55.3714,64.4656,49.84,69,98,13.0,RU,1697434658
341,Ilorin,8.5,4.55,72.48,89,84,6.44,NG,1697434659
342,Merizo Village,13.2658,144.6691,86.99,83,73,5.48,GU,1697434659
343,Am Timan,11.0297,20.2827,75.25,82,100,5.88,TD,1697434659
344,Al Lagowa,11.4,29.1333,80.74,63,100,7.02,SD,1697434660
345,Kourou,5.1552,-52.6478,75.25,83,93,10.04,GF,1697434660
346,Alytus,54.4,24.05,41.36,87,73,7.25,LT,1697434660
347,Al Manāqil,14.2459,32.9891,93.0,25,6,12.28,SD,1697434661
348,Gwadar,25.1216,62.3254,82.6,69,70,8.43,PK,1697434661
349,Boa Vista,2.8197,-60.6733,76.98,88,20,6.91,BR,1697434661
350,Pākāla,13.4667,79.1167,84.61,45,32,8.95,IN,1697434662
